40;1;2
41;2;6
42;5;6
43;5;4
44;1;4
45;1;3
46;3;4
47;4;8
48;8;7
49;7;9
50;9;10
51;8;10
52;10;11
53;11;13
54;12;13
55;4;12
56;13;14
57;5;14
58;14;17
59;17;18
60;18;19
61;19;24
62;24;27
63;24;22
64;18;22
65;27;29
66;29;28
67;30;28
68;27;30
69;23;30
70;23;24
71;23;35
72;35;21
73;35;22
74;17;21
75;17;32
76;32;21
77;13;32
78;13;15
79;11;15
80;20;21
81;15;16
82;32;16
83;16;31
84;31;20
85;20;26
86;26;30
87;26;33
88;33;28
89;33;34
90;25;34
91;25;26
92;31;25
